,path,sample_id,anneal_time,anneal_time_unit,anneal_temperature,cool_method,anneal_temperature_Kelvin,anneal_time_minutes
0,micrograph1.tif,42,,,,,,
1,micrograph2.tif,18,85.0,H,800.0,WQ,1073.15,5100.0
2,micrograph4.tif,35,90.0,M,970.0,FC,1243.15,90.0
3,micrograph5.tif,10,5.0,M,750.0,WQ,1023.15,5.0
4,micrograph6.tif,29,90.0,M,970.0,AR,1243.15,90.0
5,micrograph7.tif,40,90.0,M,970.0,Q,1243.15,90.0
6,micrograph8.tif,31,90.0,M,970.0,FC,1243.15,90.0
7,micrograph9.tif,31,90.0,M,970.0,FC,1243.15,90.0
8,micrograph10.png,39,8.0,H,970.0,Q,1243.15,480.0
9,micrograph11.tif,18,85.0,H,800.0,WQ,1073.15,5100.0
10,micrograph13.tif,8,5.0,M,800.0,WQ,1073.15,5.0
11,micrograph14.tif,41,,,,,,
12,micrograph18.png,39,8.0,H,970.0,Q,1243.15,480.0
13,micrograph20.tif,41,,,,,,
14,micrograph21.tif,3,,,,,,
15,micrograph24.tif,33,90.0,M,970.0,WQ-2C,1243.15,90.0
16,micrograph26.tif,4,5.0,M,1000.0,WQ,1273.15,5.0
17,micrograph29.tif,35,90.0,M,970.0,FC,1243.15,90.0
18,micrograph30.tif,20,24.0,H,900.0,Q,1173.15,1440.0
19,micrograph32.tif,25,24.0,H,970.0,WQ,1243.15,1440.0
20,micrograph35.tif,34,5.0,M,970.0,FC,1243.15,5.0
21,micrograph36.tif,42,,,,,,
22,micrograph37.tif,38,5.0,M,970.0,Q,1243.15,5.0
23,micrograph39.tif,34,5.0,M,970.0,FC,1243.15,5.0
24,micrograph41.tif,41,,,,,,
25,micrograph42.tif,7,3.0,H,800.0,WQ,1073.15,180.0
26,micrograph44.tif,47,,,,,,
27,micrograph48.tif,11,90.0,M,800.0,WQ,1073.15,90.0
28,micrograph49.tif,36,24.0,H,970.0,Q,1243.15,1440.0
29,micrograph51.tif,47,,,,,,
30,micrograph53.tif,32,90.0,M,970.0,WC,1243.15,90.0
31,micrograph58.tif,23,90.0,M,900.0,Q,1173.15,90.0
32,micrograph59.tif,9,5.0,M,700.0,WQ,973.15,5.0
33,micrograph60.tif,35,90.0,M,970.0,FC,1243.15,90.0
34,micrograph65.tif,12,90.0,M,800.0,WQ,1073.15,90.0
35,micrograph67.tif,2,8.0,H,800.0,WQ,1073.15,480.0
36,micrograph68.tif,7,3.0,H,800.0,WQ,1073.15,180.0
37,micrograph69.tif,35,90.0,M,970.0,FC,1243.15,90.0
38,micrograph70.tif,7,3.0,H,800.0,WQ,1073.15,180.0
39,micrograph71.tif,44,,,,,,
40,micrograph72.tif,37,3.0,H,970.0,Q,1243.15,180.0
41,micrograph74.tif,44,,,,,,
42,micrograph75.tif,37,3.0,H,970.0,Q,1243.15,180.0
43,micrograph76.tif,6,24.0,H,800.0,WQ,1073.15,1440.0
44,micrograph80.tif,47,,,,,,
45,micrograph82.tif,6,24.0,H,800.0,WQ,1073.15,1440.0
46,micrograph86.tif,37,3.0,H,970.0,Q,1243.15,180.0
47,micrograph88.tif,24,24.0,H,970.0,WQ,1243.15,1440.0
48,micrograph89.tif,47,,,,,,
49,micrograph90.tif,24,24.0,H,970.0,WQ,1243.15,1440.0
50,micrograph91.tif,47,,,,,,
51,micrograph95.tif,19,90.0,M,900.0,WQ,1173.15,90.0
52,micrograph97.tif,6,24.0,H,800.0,WQ,1073.15,1440.0
53,micrograph98.tif,20,24.0,H,900.0,Q,1173.15,1440.0
54,micrograph99.tif,41,,,,,,
55,micrograph104.tif,29,90.0,M,970.0,AR,1243.15,90.0
56,micrograph106.png,37,3.0,H,970.0,Q,1243.15,180.0
57,micrograph107.png,40,90.0,M,970.0,Q,1243.15,90.0
58,micrograph111.tif,35,90.0,M,970.0,FC,1243.15,90.0
59,micrograph113.tif,7,3.0,H,800.0,WQ,1073.15,180.0
60,micrograph114.tif,47,,,,,,
61,micrograph119.tif,35,90.0,M,970.0,FC,1243.15,90.0
62,micrograph121.tif,42,,,,,,
63,micrograph122.tif,17,85.0,H,800.0,Q,1073.15,5100.0
64,micrograph124.tif,14,3.0,H,800.0,Q,1073.15,180.0
65,micrograph130.tif,47,,,,,,
66,micrograph133.tif,4,5.0,M,1000.0,WQ,1273.15,5.0
67,micrograph135.tif,26,3.0,H,970.0,WQ,1243.15,180.0
68,micrograph138.tif,27,48.0,H,970.0,WQ,1243.15,2880.0
69,micrograph148.tif,19,90.0,M,900.0,WQ,1173.15,90.0
70,micrograph150.tif,35,90.0,M,970.0,FC,1243.15,90.0
71,micrograph152.png,37,3.0,H,970.0,Q,1243.15,180.0
72,micrograph154.tif,24,24.0,H,970.0,WQ,1243.15,1440.0
73,micrograph156.png,36,24.0,H,970.0,Q,1243.15,1440.0
74,micrograph157.tif,42,,,,,,
75,micrograph160.tif,28,8.0,H,970.0,WQ,1243.15,480.0
76,micrograph161.tif,21,3.0,H,900.0,Q,1173.15,180.0
77,micrograph162.tif,27,48.0,H,970.0,WQ,1243.15,2880.0
78,micrograph168.tif,41,,,,,,
79,micrograph169.tif,17,85.0,H,800.0,Q,1073.15,5100.0
80,micrograph170.tif,6,24.0,H,800.0,WQ,1073.15,1440.0
81,micrograph171.tif,24,24.0,H,970.0,WQ,1243.15,1440.0
82,micrograph172.tif,20,24.0,H,900.0,Q,1173.15,1440.0
83,micrograph173.png,37,3.0,H,970.0,Q,1243.15,180.0
84,micrograph176.tif,47,,,,,,
85,micrograph177.png,36,24.0,H,970.0,Q,1243.15,1440.0
86,micrograph178.tif,25,24.0,H,970.0,WQ,1243.15,1440.0
87,micrograph180.tif,47,,,,,,
88,micrograph184.tif,16,8.0,H,800.0,Q,1073.15,480.0
89,micrograph185.tif,2,8.0,H,800.0,WQ,1073.15,480.0
90,micrograph188.tif,44,,,,,,
91,micrograph189.tif,47,,,,,,
92,micrograph191.tif,4,5.0,M,1000.0,WQ,1273.15,5.0
93,micrograph192.tif,6,24.0,H,800.0,WQ,1073.15,1440.0
94,micrograph193.tif,5,1.0,H,1100.0,650-1H,1373.15,60.0
95,micrograph194.tif,42,,,,,,
96,micrograph195.tif,29,90.0,M,970.0,AR,1243.15,90.0
97,micrograph196.tif,33,90.0,M,970.0,WQ-2C,1243.15,90.0
98,micrograph198.tif,9,5.0,M,700.0,WQ,973.15,5.0
99,micrograph200.tif,25,24.0,H,970.0,WQ,1243.15,1440.0
100,micrograph201.tif,44,,,,,,
101,micrograph202.tif,25,24.0,H,970.0,WQ,1243.15,1440.0
102,micrograph205.tif,19,90.0,M,900.0,WQ,1173.15,90.0
103,micrograph209.tif,29,90.0,M,970.0,AR,1243.15,90.0
